景区名称,级别,地区,热度,简介,价格,月销量,城市,图片
都江堰青城山漂流,无,[四川·成都·青城山],0.0,天高水长，四面青山环绕，顺势而下惊险刺激,0,0,成都,https://imgs.qunarzz.com/sight/p0/1806/a2/a2ae4fe64c6c5914a3.water.jpg_280x200_471a69a8.jpg
第50届成都国际熊猫灯会,无,[四川·成都·锦江区],0.0,大美天府 璀璨蓉城,0,0,成都,https://imgs.qunarzz.com/sight/p0/1701/67/670a377b4463249fa3.water.jpg_280x200_4ef7bc72.jpg
通济花海,无,[四川·成都·彭州市],0.0,各色花卉总数超三百万株,0,0,成都,https://imgs.qunarzz.com/sight/p0/1705/2d/2dbdc1074d2e2d49a3.img.jpg_280x200_51cc04f7.jpg
魔法鲸灵童话世界,无,[四川·成都·新津县],0.0,综合性主题乐园。,0,0,成都,https://imgs.qunarzz.com/sight/p0/1908/95/95a400f6ac6f454ea3.water.jpg_280x200_f1b36b80.jpg
天府芙蓉园（2020首届国际灯彩节）,4A景区,[四川·成都·武侯区],0.0,以芙蓉花为主，植物众多,0,0,成都,https://imgs.qunarzz.com/sight/p0/2001/b7/b74d751651b1789fa3.water.jpg_280x200_5232dd3a.jpg
好秾人有机农庄,无,[四川·成都·龙泉驿],0.0,田园风光，体验采摘乐趣,0,0,成都,https://imgs.qunarzz.com/sight/p0/1704/33/3338f029f988383ea3.img.jpg_280x200_c37ebdfb.jpg
锦绣安仁奇境花园,无,[四川·成都·大邑县],0.0,一年四季花开不断,0,0,成都,https://imgs.qunarzz.com/sight/p0/1810/64/64d283f7f29499bda3.img.jpg_280x200_803bd7fe.jpg
成都田家家农场,无,[四川·成都·双流区],0.0,以阿狸为主题，适合亲子游,0,0,成都,https://imgs.qunarzz.com/sight/p0/1808/ca/ca0a77cba5e6f1bca3.img.jpg_280x200_3e6b8cce.jpg
双流中国网红馆,无,[四川·成都·双流区],0.0,新晋的网红拍照打卡地,0,0,成都,https://imgs.qunarzz.com/sight/p0/2004/b9/b913835977839b5ca3.img.jpg_280x200_c2ec7015.jpg
大邑道源圣城温泉,无,[四川·成都·大邑县],0.0,吸养生精气,0,0,成都,https://imgs.qunarzz.com/sight/p0/1410/24/4aa94dee7e8cb7c2e801025c12a9451b.jpg_280x200_2689ad99.jpg
成都星空错觉艺术馆,无,[四川·成都·锦江区],0.0,国内大规模的错觉艺术展,0,0,成都,https://imgs.qunarzz.com/sight/p0/1802/f2/f226b2fc9ba74f87a3.img.jpg_280x200_e5f6af72.jpg
杨梅小镇,无,[四川·成都·双流区],0.0,既可赏花采果又可登山垂钓,0,0,成都,https://imgs.qunarzz.com/sight/p0/1803/20/200d977a5af8dd51a3.img.jpg_280x200_21b3c50e.jpg
成都体育中心,无,[四川·成都·青羊区],0.7,曾是四川省足球队的主场，位于成都市中心,0,0,成都,https://imgs.qunarzz.com/sight/p0/201305/13/b32a0ec8ac31c7eac8d65eac.jpg_280x200_f3e5368c.jpg
水果侠主题乐园,无,[四川·成都·都江堰市],0.0,全家畅享的室外主题乐园,0,0,成都,https://imgs.qunarzz.com/sight/p0/1809/83/8398643d3497abd7a3.img.jpg_280x200_63838f0b.jpg
天府熊猫塔,无,[四川·成都·成华区],0.0,俯瞰天府之国凌空赏月,0,0,成都,https://imgs.qunarzz.com/sight/p0/1505/73/73d0c8335138d1e2.water.jpg_280x200_5b67ba34.jpg
沐青汤泉,无,[四川·成都·武侯区],0.0,内有咖啡厅和电影院,0,0,成都,https://imgs.qunarzz.com/sight/p0/2101/d1/d1cefee9084844d6a3.img.jpg_280x200_2d2ce586.jpg
普罗旺斯妖媚花仙谷,无,[四川·成都·大邑县],0.0,园内百花争艳,0,0,成都,https://imgs.qunarzz.com/sight/p0/2002/53/536702128c72b243a3.img.jpg_280x200_13ed7cb8.jpg
成都麦鲁小城欢乐谷店,无,[四川·成都·金牛区],0.0,有趣的儿童城市,0,0,成都,https://imgs.qunarzz.com/sight/p0/201311/05/50e1c58795413d57c8d65eac.jpg_280x200_c0b9e95f.jpg
御垒山居,无,[四川·成都·都江堰市],0.0,新中式建筑和自然主义结合,0,0,成都,https://imgs.qunarzz.com/sight/p0/1611/56/56dc77aa095186c3a3.water.jpg_280x200_f847640f.jpg
成都失恋博物馆,无,[四川·成都·青羊区],0.0,倾听失恋物带来的情感故事,0,0,成都,https://imgs.qunarzz.com/sight/p0/1901/df/dfa64964373afafa3.img.jpg_280x200_054b2126.jpg
创舍(宽窄巷子店),无,[四川·成都],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
洛带博客楼,无,[四川·成都·龙泉驿],0.0,洛带·博客小镇东靠龙泉山，北接古镇老街，西面湿地公园，南邻生态农庄。项目以客家人五次大迁徙为线索，萃取世界小镇之精华，精,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
『火星2035』沉浸式科学艺术展,无,[四川·成都·武侯区],0.0,火星2035 沉浸式科学艺术展来成都啦！ ？1200平米超大展区 ？情景密室《冲日之旅》 ？打造300平米水秀奇境 ？全,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
快乐老街,无,[四川·成都·彭州市],0.0,这是一条特色的街区，有一些特别的民居建筑，还有很多景观石，上面都绘有不同的图画，很生动。,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
星际传奇（新都七一国际广场店）,无,[四川·成都·新都区],0.0,星际传奇是时尚、高端的游艺娱乐连锁品牌。在成都拥有直营门店11家，经营总面积近数万平方米。星际传奇以欢乐、健康、益智为经,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
星际传奇（成都绿地伊藤广场店）,无,[四川·成都·锦江区],0.0,星际传奇是时尚、高端的游艺娱乐连锁品牌。在成都拥有直营门店11家，经营总面积近数万平方米。星际传奇以欢乐、健康、益智为经,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
斑竹林318童乐园,无,[四川·成都·新津县],0.0,斑竹林318童乐园坐落于斑竹林318房车营地景区内，是一个充满童趣的地方，园内设置碰碰车、章鱼船、海盗船、旋转木马、卡通,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
元通古镇,4A景区,[四川·成都·崇州市],0.0,历史上的一个重要码头,0,0,成都,https://imgs.qunarzz.com/sight/p0/1707/17/17fe240aa6810d0ba3.water.jpg_280x200_a558c50e.jpg
成都宽窄巷子·禧来蜀韵园川剧演出,无,[四川·成都·宽窄巷子],0.0,宽窄巷子内的老茶馆戏院,0,0,成都,https://imgs.qunarzz.com/sight/p0/1705/65/65c5b3484f6853aa3.img.jpg_280x200_dd5d4a3e.jpg
丹景山小火车,无,[四川·成都·彭州市],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
花田广兴宝塔浪漫樱花园,无,[四川·成都·金堂县],0.0,触手可及的浪漫，十里樱花，如霏雪般！,0,0,成都,https://imgs.qunarzz.com/sight/p0/1703/41/417505936022e30ea3.water.jpg_280x200_1ac7fdcf.jpg
成都奇妙冰上乐园,无,[四川·成都·高新区],0.0,在国际专业冰球场地，体验速度与激情,0,0,成都,https://imgs.qunarzz.com/sight/p0/1901/ac/ac3eafe8518b25e0a3.img.jpg_280x200_a2485039.jpg
虹口滑索,无,[四川·成都·都江堰市],0.0,集高山、峡谷、原始森林等自然风光为一身,0,0,成都,https://imgs.qunarzz.com/sight/p0/1806/ce/cea88bda139a69eca3.img.jpg_280x200_2a066549.jpg
丹景山开心水上乐园,无,[四川·成都],0.0,"丹景山开心水上乐园位于四大“牡丹之乡”的彭州市，地处彭州市丹景山镇南安大道路口，依托盛世牡丹苑秀美的园林景色。
园内项目",0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
慕藤月鲜花农场,无,[四川·成都·崇州市],0.0,景区于2019年5月1日正式对外开放，截止2019年8月，旅游人数得到3万余人，最多单日4000余人，带动当地百姓长期就,0,0,成都,https://imgs.qunarzz.com/sight/p0/2004/f8/f8cd63250be0b8eea3.img.jpg_280x200_30d5cacf.jpg
蓝彩虹蓝莓采摘基地,无,[四川·成都·郫都区],0.0,蓝彩虹蓝莓采摘基地位于成都郫县战旗村，每到六月蓝莓成熟时，就是采摘草莓的时候。6月-7月，蓝莓采摘基地将举行一年一度的蓝,0,0,成都,https://imgs.qunarzz.com/sight/p0/2105/fc/fce17d86cb8d7d6ba3.img.jpg_280x200_60052bd9.jpg
西部奇迹花海,无,[四川·成都·郫都区],0.0,,0,0,成都,https://imgs.qunarzz.com/sight/p0/2009/8b/8bdef47a9aff751da3.img.jpg_280x200_fa5b35a8.jpg
崇州浪朗地中海水上乐园,无,[四川·成都·崇州市],0.0,集娱乐、餐饮美食、商务休闲、主题水上乐园,0,0,成都,https://imgs.qunarzz.com/sight/p0/1807/f3/f33e538162c4b2e9a3.img.jpg_280x200_e6964f95.jpg
花水湾锦泰温泉,无,[四川·成都·花水湾温泉旅游度假区],0.0,东南亚风格,0,0,成都,https://imgs.qunarzz.com/sight/p0/201301/06/ca87314ceab05eba93835fbb.jpg_280x200_c1ebb464.jpg
南湖梦幻岛嬉水乐园,无,[四川·成都·南湖梦幻岛],0.0,清凉之旅,0,0,成都,https://imgs.qunarzz.com/sight/p0/1607/b3/b382acba21503aaeb4.water.jpg_280x200_c92d863e.jpg
Little Planet 小星球乐园,无,[四川·成都·成华区],0.0,"多次荣获「日本儿童设计大奖」的Little Planet

登陆中国就先在成都万象城落地

精选海外本土zui受欢迎的1",0,0,成都,https://imgs.qunarzz.com/sight/p0/2112/db/db271967c8a7d391a3.img.png_280x200_9de55239.png
侏罗纪世界电影特展,无,[四川·成都·成华区],0.0,"侏罗纪世界特展
有机会看见""侏罗纪世界""里的活恐龙！
《侏罗纪世界特展》首次在中国展出。",0,0,成都,https://imgs.qunarzz.com/sight/p0/2107/61/61a6be38270552dea3.img.jpg_280x200_a067e5e9.jpg
水果侠水世界,无,[四川·成都·都江堰市],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
梦幻成都水上乐园,无,[四川·成都·双流区],0.0,梦幻成都水上乐园，位于成都市双流区双永路，是成都近距离观赏飞机的好去处，梦幻成都水上乐园拥有约100亩占地面积集资打造。,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
盖碗儿茶馆戏园子,无,[四川·成都·锦江区],0.0,喝茶，看戏好去处，就在盖碗儿,0,0,成都,https://imgs.qunarzz.com/sight/p0/1608/6e/6e93d2bd6722102a3.img.jpg_280x200_138dad42.jpg
飞越丛林探险乐园（锦绣城园区）,无,[四川·成都],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
SUPA速搏灵动竞技社交（银海中心店）,无,[四川·成都],0.0,速搏灵动运动空间，集运动、娱乐、健身、成长、社交、高科技游戏体验于一体的超大型室内运动娱乐主题空间，场馆面积4800平米,0,0,成都,https://imgs.qunarzz.com/sight/p0/2109/27/2724ad3d7aaf1cf6a3.water.jpg_280x200_ddd5b1ea.jpg
梵高星空艺术馆,无,[四川·成都·锦江区],0.0,,0,0,成都,https://imgs.qunarzz.com/sight/p0/1903/15/158bf077e37efdcca3.water.jpg_280x200_6adb65ad.jpg
寻虫记昆虫萌宠主题沉浸式体验馆,无,[四川·成都·武侯区],0.0,体验昆虫乐趣,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
崇州加勒比水上乐园,无,[四川·成都·崇州市],0.0,体验从失重惊呼到梦醒的一瞬间,0,0,成都,https://imgs.qunarzz.com/sight/p0/1805/d9/d91e24336ef02d67a3.img.jpg_280x200_73263ec0.jpg
加勒比冒险水世界,无,[四川·成都·崇州市],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
麓湖生态城水上乐园,无,[四川·成都·双流区],0.0,造型各异的水上气模,0,0,成都,https://imgs.qunarzz.com/sight/p0/1805/f7/f75daba077772c91a3.img.jpg_280x200_52e18583.jpg
尚公馆·水韵城市温泉水疗,无,[四川·成都·锦江区],0.0,城市康养度假中心,0,0,成都,https://imgs.qunarzz.com/sight/p0/2001/9d/9d70d9c3ab4aeebfa3.img.jpg_280x200_aad6da0d.jpg
西岭森林公园,无,[四川·成都·大邑县],0.0,位于成都市大邑县西岭镇境内，距成都107公里，距大邑县城50公里，主峰海拔5364米。因唐代诗圣杜甫的“窗含西岭千秋雪”,0,0,成都,https://imgs.qunarzz.com/sight/p0/201301/17/bde9820c709ff94993835fbb.jpg_280x200_e1e48d23.jpg
崇州多彩山地滑水,无,[四川·成都·崇州市],0.0,山地滑水，创意独特,0,0,成都,https://imgs.qunarzz.com/sight/p0/1806/dd/ddbdc5dff25ecc47a3.img.jpg_280x200_a7771fc8.jpg
卡丁熊猫卡丁车馆,无,[四川·成都·成华区],0.0,卡丁熊卡猫丁车馆的赛场总面积6800平方，赛道宽4.5米-7.2米，可同时发车12辆。共有11个弯道， 4个右弯，7个左,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
诗里田园亲水度假区,无,[四川·成都],0.0,田园生活体验,0,0,成都,https://imgs.qunarzz.com/sight/p0/2212/8f/8f7014708cb577bba3.water.jpg_280x200_4b694db9.jpg
遇见博物馆,无,[四川·成都·成华区],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
嗨马乐动（龙湖北城天街店),无,[四川·成都·金牛区],0.0,嗨马乐动（龙湖北城天街店)是集运动、娱乐、健身、高科技游戏体验于一体的超大型室内运动娱乐主题公园，嗨马乐动龙湖北城天街店,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
阿尔法剧场,无,[四川·成都],0.0,百老汇式舞台，沉浸式演出,0,0,成都,https://imgs.qunarzz.com/sight/p0/2212/7f/7fe4de9437ea1dafa3.water.jpg_280x200_761bdc25.jpg
「西南首展」国家地理经典影像大展,无,[四川·成都],0.0,《国家地理》杂志自1888年创刊以来一直致力于探索我们所在的星球和其中的一切。它不仅探索和记录了自然地理的万千概貌，还定,0,0,成都,https://imgs.qunarzz.com/sight/p0/2103/d9/d9edcb4d7513dd7a3.img.jpg_280x200_afcdbb08.jpg
海豚湾水上乐园,无,[四川·成都·彭州市],0.0,体验刺激的水上攀岩项目,0,0,成都,https://imgs.qunarzz.com/sight/p0/1507/18/16f90a8d8392a664e80f9c9e8c6c8b83.water.jpg_280x200_425dee0c.jpg
蓬蓬动物王国,无,[四川·成都·武侯区],0.0,"“BonBonZoo, 蓬蓬动物王国”，是正坤集团旗下文旅产业的万得生公司推出的以室内动物园为主体的家庭亲子乐园连锁品牌",0,0,成都,https://imgs.qunarzz.com/sight/p0/2204/1f/1f1e4c0c4afb6dd0a3.water.jpg_280x200_bfd5ad78.jpg
大英图书馆·世界像素（成都站）,无,[四川·成都·武侯区],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
《阿凡达：探索潘多拉》 世界巡回电影特展·成都站,无,[四川·成都·郫都区],0.0,《阿凡达：探索潘多拉》是基于詹姆斯·卡梅隆的全球畅销电影《阿凡达》所打造的创新世界巡回展览。亲历这一史诗电影中描绘的遥远,0,0,成都,https://imgs.qunarzz.com/sight/p0/2104/74/74631225cbce14eba3.img.jpg_280x200_658584d7.jpg
成都踏浪水上乐园,无,[四川·成都·青白江区],0.0,清凉！激情！好玩！　,0,0,成都,https://imgs.qunarzz.com/sight/p0/1705/f6/f6813c9c529d228ea3.img.jpg_280x200_89a9b793.jpg
柏林童话亲子乐园,无,[四川·成都·双流区],0.0,环境优美，景色怡人，依山傍水,0,0,成都,https://imgs.qunarzz.com/sight/p0/1706/49/4919241e3c43dfe2a3.water.jpg_280x200_0d7a2a06.jpg
鹿野花塔,无,[四川·成都·彭州市],0.0,"""这里就是位于彭州的鹿野花塔，
一个离成都只有1h的秘境山谷，
一个可以随手拍出大片的摄影圣地，
也是一个可以闭眼躺一下",0,0,成都,https://imgs.qunarzz.com/sight/p0/2105/d8/d8adc42e2177e026a3.water.jpg_280x200_ed4da65d.jpg
凤栖林温泉,无,[四川·成都·大邑县],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
嗨马乐动（环球店）,无,[四川·成都],0.0,,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
4FUN脱口秀俱乐部,无,[四川·成都·成华区],0.0,Just For Fun,0,0,成都,https://imgs.qunarzz.com/sight/p0/2106/b6/b6457632c9c7dfc2a3.water.jpg_280x200_b0334f2c.jpg
宝山卡丁车俱乐部,无,[四川·成都·彭州市],0.0,卡丁车俱乐部,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
奈尔宝家庭中心（成都大悦城店）,无,[四川·成都·武侯区],0.0,专为0—14岁儿童家庭提供高端亲子玩乐，集美学体验、娱乐设施、中英文分级阅读、儿童主题活动、亲子主题餐厅、专属派对服务为,0,0,成都,https://imgs.qunarzz.com/sight/p0/2212/f1/f1a3c37a06b389c3a3.water.jpg_280x200_f7c5b2a9.jpg
景源水世界,无,[四川·成都·新津县],0.0,项目多，餐饮娱乐于一体,0,0,成都,https://imgs.qunarzz.com/sight/p0/1507/5d/626667579dc3f89ac080b3aee88b87d3.water.jpg_280x200_53c26fc9.jpg
江安河漂流,无,[四川·成都·温江区],0.0,集漂流、时尚休闲、观光于一体,0,0,成都,https://imgs.qunarzz.com/sight/p0/1706/44/443f796006618e2ea3.img.jpg_280x200_f3e3bf8a.jpg
蟠龙谷景区,无,[四川·成都·彭州市],0.0,瀑布众多，探险观光好去处,0,0,成都,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0101s120008jkvy01AEA1.jpg_280x200_638fcc28.jpg
桤木河湿地公园,无,[四川·成都·崇州市],0.0,水域面积近1365亩,0,0,成都,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0106x1200086ixbct126F.jpg_280x200_253a8ae1.jpg
标地越野沙滩车（三圣乡）乐园,无,[四川·成都·锦江区],0.0,标地越野沙滩车（三圣乡）乐园，属于标地旅游旗下的核心越野项目，三圣乡标地是一家占地近100多亩的大型户外越野基地，集越野,0,0,成都,https://imgs.qunarzz.com/sight/p0/2103/39/3909300144e19239a3.img.jpg_280x200_3d55b3d1.jpg
紫颐香薰山谷,无,[四川·成都·双流区],0.0,畅游迷人的薰衣草花海,0,0,成都,https://imgs.qunarzz.com/sight/p0/2002/cb/cb12a18be748f908a3.img.jpg_280x200_4fd28474.jpg
标地越野沙滩车乐园（都江堰基地）,无,[四川·成都·都江堰市],0.0,标地越野沙滩车（都江堰）属于标地旅游旗下的核心越野项目，分为标地越野沙滩车和标地江岸青春乐园，是一家占地300多亩的大型,0,0,成都,https://imgs.qunarzz.com/sight/p0/2007/cd/cd47515819fab613a3.img.jpg_280x200_4dddf299.jpg
太空嘉年华,无,[四川·成都·成都欢乐谷],0.0,穿梭在无尽的浩瀚海洋中,0,0,成都,https://imgs.qunarzz.com/sight/p0/1706/e0/e083f1d9aa2a470da3.img.jpg_280x200_13ae85df.jpg
雲上自然缘森林温泉,无,[四川·成都·崇州市],0.0,雲上自然缘温泉度假酒店的雲上自然缘森林温泉，坐落于四川省崇州市街子镇三郎社区九龙沟景区，距离成都1小时30分钟左右车程，,0,0,成都,https://imgs.qunarzz.com/sight/p0/2212/c9/c9f907eec47fb89ba3.water.jpg_280x200_64946928.jpg
三岔湖环球融创天堂洲际酒店水乐园,无,[四川·成都·武侯区],0.0,成都高新区的大型水上乐园,0,0,成都,https://imgs.qunarzz.com/sight/p0/2106/95/9523f939bdb468ada3.img.jpg_280x200_28ec940f.jpg
杜甫亭,无,[四川·成都·西岭雪山],0.0,乃一古树被雷电劈削而成，惟妙惟肖,0,0,成都,https://imgs.qunarzz.com/sight/p39/201211/04/f459e54031d8bdd893835fbb.jpg_280x200_1f41f88c.jpg
观云台,无,[四川·成都·西岭雪山],0.0,有机会看到翻滚的云海,0,0,成都,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/d2546f9e55e6cce7e999b3da49c82d42.jpg_280x200_df605cd6.jpg
悦来古镇,无,[四川·成都·大邑县],0.7,川西古镇，连通众多景点,0,0,成都,https://imgs.qunarzz.com/sight/p32/201211/04/ddc74eb08b6f91f393835fbb.jpg_280x200_d4014412.jpg
梵高再现 沉浸式光影大展,无,[四川·成都·高新区],0.0,梵高再现”展超越了时间和空间。观众将追随梵高的足迹，漫 步于荷兰、巴黎、阿尔勒（Arles）、圣雷米（Saint Rém,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
阴阳界,无,[四川·成都·西岭雪山],0.0,山脊宽约2米,0,0,成都,https://imgs.qunarzz.com/sight/p32/201211/09/bb829ebe087d3b0b93835fbb.jpg_280x200_a57d7eed.jpg
崇州九龙峡漂流,无,[四川·成都·崇州市],0.0,体验“水上过山车”的快感,0,0,成都,https://imgs.qunarzz.com/sight/p0/201407/28/a10185e9845b6d1ca43aada7a38f641c.jpg_280x200_03a6f83e.jpg
成都融创水世界,无,[四川·成都·都江堰市],0.0,成都融创水世界位于都江堰至臻路35号，水世界建筑面积4.3万㎡，以贡嘎雪山及羌寨建筑为主题，整个乐园将水乐园的设备游玩和,0,0,成都,https://imgs.qunarzz.com/sight/p0/2006/f5/f5f37b8e9288edb4a3.img.jpg_280x200_fcbb8655.jpg
九龙沟漂流,无,[四川·成都·九龙沟],0.0,体验“水上过山车”的快感,0,0,成都,https://imgs.qunarzz.com/sight/p0/201306/24/f781113130247000c8d65eac.png_280x200_06fe4001.png
复仇者联盟世界巡回展·成都站,无,[四川·成都·锦江区],0.0,漫威官方正版授权的IP特展，复仇者联盟互动体验站终来成都啦！13个漫威超级英雄，2个终 极BOSS，N个英雄场景无缝衔接,0,0,成都,https://imgs.qunarzz.com/sight/p0/2101/8b/8b4799fcef746735a3.img.jpg_280x200_06b565fd.jpg
青城两河漂流,无,[四川·成都·都江堰市],0.0,泛舟欣赏美丽的翠竹,0,0,成都,https://imgs.qunarzz.com/sight/p0/1607/85/85de62de7093f328b4.water.jpg_280x200_1cf93d42.jpg
芳华微马公园,无,[四川·成都·新都区],0.0,景点位于新都区香城大道芳华微马公园——规划3000余亩，核心观赏区区500余亩，园区引进几十种国外特色紫藤，规划长约5公,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
成都融创天府之星氦气球,无,[四川·成都·都江堰市],0.0,一览无余的快乐,0,0,成都,https://imgs.qunarzz.com/sight/p0/2101/23/238baca4629341d1a3.img.jpg_280x200_7266d24f.jpg
标地越野沙滩车乐园（温江基地）,无,[四川·成都·温江区],0.0,大型户外越野基地,0,0,成都,https://imgs.qunarzz.com/sight/p0/2104/6b/6be1fa85f898e1d5a3.img.jpg_280x200_17a71215.jpg
成都华侨城大剧院,无,[四川·成都·金牛区],0.0,尽显川蜀大地博大精深的文化底蕴,0,0,成都,https://imgs.qunarzz.com/sight/p0/201311/07/9247f3c493c3ec38c8d65eac.jpg_280x200_a99c271d.jpg
白鹿恐龙园,无,[四川·成都·彭州市],0.0,一起寻觅恐龙足迹，重返侏罗纪,0,0,成都,https://imgs.qunarzz.com/sight/p0/1609/b6/b6727dc8030aeba3a3.water.jpg_280x200_a754bab3.jpg
花水湾冰火漂流,无,[四川·成都·花水湾温泉旅游度假区],0.0,体验刺激的冰火漂项目,0,0,成都,https://imgs.qunarzz.com/sight/p0/1807/3a/3a0589ce9cc5a6f1a3.img.jpg_280x200_d82bb5d9.jpg
花水湾樱花柏栎度假酒店温泉,无,[四川·成都·大邑县],0.0,人与温泉、自然的结合,0,0,成都,https://imgs.qunarzz.com/sight/p0/1809/73/7333024a1e1192a3.img.jpg_280x200_9de958c5.jpg
西岭峡谷漂流,无,[四川·成都·大邑县],0.0,风景优美、设施齐全,0,0,成都,https://imgs.qunarzz.com/tuan/team2/1507/ce/af0c0f6ee38bc9.jpg_280x200_33bfb00b.jpg
成都339广场,无,[四川·成都·成华区],0.0,市民休闲娱乐的又一好去处,0,0,成都,https://imgs.qunarzz.com/sight/p0/1611/82/82e3683ee524e9efa3.water.jpg_280x200_20b4c6aa.jpg
温江公园,无,[四川·成都·温江区],0.7,动静结合、环境优美,0,0,成都,https://imgs.qunarzz.com/sight/p0/201303/07/8a56a41d964d92c1c8d65eac.jpg_280x200_b7298ba6.jpg
花熳天下（金堂樱花节）,无,[四川·成都·金堂县],0.0,浪漫气息扑面而来~,0,0,成都,https://imgs.qunarzz.com/sight/p0/1803/39/39381c6cd35a26b3a3.water.jpg_280x200_32ecb648.jpg
罨画池,无,[四川·成都·崇州市],0.0,建于唐朝的川西园林,0,0,成都,https://imgs.qunarzz.com/sight/p0/201304/12/0a8fc51e03d1e7ebc8d65eac.jpg_280x200_7dffe731.jpg
天府玫瑰谷,无,[四川·成都·郫都区],0.0,享受花海静谧的悠闲时光,0,0,成都,https://imgs.qunarzz.com/sight/p0/201301/17/fda04321ae79211093835fbb.jpg_280x200_177d625a.jpg
兰桂坊成都,无,[四川·成都·锦江区],0.0,兰桂坊成都就在锦江边，是这座城市夜生活的又一个地标性区域，如今兰桂坊成都已经成为时尚的酒吧、餐饮一条街，这里集中了众多的,0,0,成都,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png
